CPU no USED,Agents,vCPU,CPU USED,Time
7.4756097561,88,4,92.5975609756,163.5
9.125,63,4,90.9411764706,135.316
76.2790697674,26,18,23.7674418605,42.514
18.2522522523,47,6,81.7027027027,110.135
61.4864864865,66,32,38.5135135135,36.721
57.8292682927,56,28,42.1707317073,40.06
8.7577639752,85,4,91.3540372671,160.435
72.6458333333,30,18,27.375,47.29
78.5384615385,22,18,21.4615384615,38.251
1.247706422,29,1,98.7339449541,108.292
53.4827586207,39,18,46.5172413793,57.616
19.81,31,4,80.27,99.838
2.5409836066,98,2,97.7213114754,183.034
20.179245283,42,6,79.7735849057,105.289
74.6444444444,27,18,25.2666666667,44.568
55.6,55,28,44.475,39.782
8.1381578947,76,4,91.9342105263,151.193
60.1333333333,46,24,39.8444444444,44.415
2.2696629213,93,2,98.0449438202,177.973
59.2173913043,47,24,40.7826086957,45.713
71.32,31,18,28.72,49.578
19.8317757009,43,6,80.1308411215,106.943
2.3224043716,97,2,97.9617486339,182.571
8.7417218543,75,4,91.3377483444,150.69
8.60625,83,4,91.43125,159.76
7.0930232558,93,4,92.9244186047,171.643
73.625,28,18,26.375,47.162
2.6489361702,100,2,97.7074468085,187.154
52.6451612903,34,16,47.3709677419,61.51
8.6862745098,76,4,91.3790849673,152.885
26.3125,32,6,73.6354166667,95.885
6.5818181818,31,2,93.7363636364,109.373
19.9619047619,40,6,79.9523809524,104.988
8.375,82,4,91.725,159.814
8.4493670886,80,4,91.6708860759,157.66
9.1476510067,72,4,90.8657718121,148.892
7.76875,81,4,92.3125,159.089
20.9714285714,39,6,79.0285714286,104.378
54.3225806452,33,16,45.6129032258,61.158
53.6779661017,37,18,46.2203389831,58.391
0.0053475936,96,1,99.9839572193,187.111
60.4615384615,65,32,39.5384615385,38.954
60.5526315789,64,32,39.5263157895,37.831
60.131147541,32,16,39.868852459,60.087
56.5,45,24,43.5652173913,45.61
2.8323699422,86,2,97.4393063584,172.371
8.3607594937,79,4,91.6708860759,157.194
55.9137931034,36,18,44,57.636
8.5987261146,78,4,91.4777070064,156.316
19.8796296296,41,6,80.1018518519,107.265
8.1294117647,90,4,91.9176470588,170.005
54.0491803279,38,18,45.9672131148,60.181
59.7209302326,54,28,40.1395348837,42.109
58.6304347826,44,24,41.3913043478,45.44
62.5,63,32,37.4736842105,37.743
1.6578947368,30,1,98.3333333333,114.184
8.8060606061,84,4,91.2666666667,164.263
8.2360248447,81,4,91.8385093168,161.022
64,61,32,35.9459459459,36.258
0.0053763441,93,1,99.9892473118,185.693
7.3185840708,31,2,92.9734513274,112.197
63.9069767442,53,28,35.9534883721,42.654
60.5384615385,62,32,39.3846153846,38.408
58.0212765957,43,24,41.9787234043,46.579
8.1923076923,75,4,91.9294871795,155.783
56.9,35,18,43.1,60.028
66.1842105263,60,32,33.8421052632,37.264
63.1463414634,50,28,36.8536585366,40.611
21.3738317757,37,6,78.6074766355,106.236
9.6808510638,61,4,90.3971631206,140.709
8.6133333333,69,4,91.4133333333,149.833
59.9069767442,52,28,40.023255814,43.03
62.8372093023,39,24,37.0697674419,42.943
0.0052910053,94,1,99.9894179894,189.11
0.1308900524,95,1,99.8586387435,190.268
57.5833333333,34,18,42.2333333333,59.356
8.1695906433,87,4,91.9005847953,170.442
8.41875,77,4,91.6125,159.15
21.5865384615,34,6,78.4423076923,103.33
59.1162790698,51,28,40.7674418605,42.252
8.4417177914,80,4,91.6196319018,162.957
0.1505376344,90,1,99.8440860215,185.242
