CPUnoUSED,Agents,vCPU,CPU Used,Time
11.31680696,79,1,88.5864234,246.948
11.2717377,80,1,88.63073637,250.899
6.204958678,81,1,93.77355372,194.568
6.312913907,82,1,93.67301325,190.45
6.252982107,83,1,93.73409543,190.979
6.206521739,84,1,93.77799736,194.679
6.170708955,85,1,93.81669776,198.358
6.145724258,86,1,93.84450262,195.909
6.117527725,87,1,93.87368136,197.927
6.105639138,88,1,93.8862431,194.953
3.276974152,89,1,96.71064738,197.458
6.054187192,90,1,93.92610837,193.053
6.182552504,91,1,93.80129241,197.377
6.105901374,92,1,93.88278092,196.007
6.017669532,93,1,93.97325692,204.022
5.965484484,94,1,94.02659911,202.736
6.023373052,95,1,93.96929423,191.034
6.016236867,96,1,93.9808978,195.287
6.030788967,97,1,93.96600385,194.787
6.056820796,98,1,93.93972855,194.604
5.964846416,99,1,94.03003413,206.123
5.904846416,100,1,94.10003413,208.123
69.75,1,2,30.4,9.827
69.8548387096774,2,2,30.241935483871,10.496
68.1007751937985,3,2,32.062015503876,12.149
65.75,4,2,34.4590909090909,12.473
63.3882352941177,5,2,36.8529411764706,13.958
62.0304259634889,6,2,38.2008113590264,15.482
60.2067448680352,7,2,40.0425219941349,16.825
58.5423542354235,8,2,41.7018701870187,18.245
57.2978723404255,9,2,42.9659574468085,19.405
56.0329522528581,10,2,44.2246133154001,21.14
51.0606060606061,11,2,48.969696969697,22.241
48.18,12,2,51.86,23.689
48.5317073170732,13,2,51.5414634146342,24.382
47.4159544159544,14,2,52.6923076923077,26.542
46.212962962963,15,2,53.9425925925926,27.823
45.1640826873385,16,2,55.0012919896641,28.645
44.440074906367,17,2,55.7247191011236,31.952
40.9919517102616,18,2,59.1998658618377,42.768
37.6138711264142,19,2,62.5828824397442,50.082
35.4161937192584,20,2,64.7828225501324,50.93
27.7936507936508,21,2,72.3809523809524,52.345
25.9310344827586,22,2,74.2512315270936,59.853
25.933014354067,23,2,74.2799043062201,61.674
25.3870523415978,24,2,74.8154269972452,66.379
24.9099181073703,25,2,75.3075523202912,64.79
24.5592146928436,26,2,75.6782773907536,69.965
23.6934373565856,27,2,76.5493345571363,75.544
23.1262714836899,28,2,77.1171518765346,73.684
22.6723804257672,29,2,77.5753386784628,75.121
22.1899712834106,30,2,78.0532361387232,80.918
19.0729166666667,31,2,81.1354166666667,85.976
15.5562130177515,32,2,84.6775147928994,110.878
14.4478021978022,33,2,85.7541208791209,119.647
